"Date","Close","Open","High","Low","Volume","Change"
"2022-12-23","85.65","87.85","88.65","85.52","17.95M","-2.64%"
"2022-12-22","87.97","89.08","89.69","86.67","15.93M","0.18%"
"2022-12-21","87.81","86.01","88.39","85.46","18.16M","2.20%"
"2022-12-20","85.92","85.04","87.20","85.04","15.26M","-1.42%"
"2022-12-19","87.16","89.75","89.78","86.50","20.63M","0.43%"
"2022-12-16","86.79","88.80","90.57","86.61","25.08M","0.67%"
"2022-12-15","86.21","93.09","94.08","86.05","30.34M","-5.17%"
"2022-12-14","90.91","91.06","91.26","89.50","15.55M","-0.55%"
"2022-12-13","91.41","93.45","94.98","90.30","21.12M","2.24%"
"2022-12-12","89.41","90.09","90.89","87.75","14.98M","-2.11%"
"2022-12-9","91.34","93.27","93.75","91.22","15.45M","-3.01%"
"2022-12-8","94.17","91.97","94.33","91.08","29.16M","6.61%"
"2022-12-7","88.33","87.06","89.26","86.62","19.46M","-3.41%"
"2022-12-6","91.45","91.88","92.57","89.20","26.58M","1.03%"
"2022-12-5","90.52","92.90","92.90","89.63","30.81M","0.51%"
"2022-12-2","90.06","86.05","91.85","86.05","35.04M","4.79%"
"2022-12-1","85.94","84.35","87.60","84.26","19.73M","-1.85%"
"2022-11-30","87.56","82.74","89.63","82.25","59.95M","9.64%"
"2022-11-29","79.86","80.24","80.89","79.45","24.12M","5.25%"
"2022-11-28","75.88","74.74","77.42","74.68","19.08M","0.50%"
"2022-11-25","75.50","75.50","76.05","74.92","13.04M","-3.82%"
"2022-11-23","78.50","78.19","78.85","76.85","19.03M","3.30%"
"2022-11-22","75.99","75.44","76.80","74.58","20.69M","-1.22%"
"2022-11-21","76.93","78.69","79.06","76.47","19.01M","-4.41%"
"2022-11-18","80.48","82.15","82.52","79.86","29.53M","-4.49%"
"2022-11-17","84.26","76.00","85.68","75.76","62.05M","7.80%"
"2022-11-16","78.16","80.32","80.45","77.41","26.05M","-1.44%"
"2022-11-15","79.30","78.93","80.37","77.81","52.89M","11.17%"
"2022-11-14","71.33","73.16","74.00","71.32","30.14M","0.79%"
